stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
914,914,"Heussler Tce at Heussler - Fernberg, stop 8",,-27.466549,153.001518,1,http://translink.com.au/stop/000914/gtfs/,0,,
921,921,"Baroona Rd at Baroona - Haig, stop 8",,-27.46701,153.001551,1,http://translink.com.au/stop/000921/gtfs/,0,,
915,915,"Heussler Tce at Heussler - Fernberg, stop 8",,-27.466384,153.001597,1,http://translink.com.au/stop/000915/gtfs/,0,,
918,918,"Baroona Rd at Baroona Shops, stop 7",,-27.468275,153.002584,1,http://translink.com.au/stop/000918/gtfs/,0,,
916,916,"Milton Rd at Milton, stop 7",,-27.469341,153.002914,1,http://translink.com.au/stop/000916/gtfs/,0,,
922,922,"Baroona Rd at Baroona Shops, stop 7",,-27.46849,153.002981,1,http://translink.com.au/stop/000922/gtfs/,0,,
917,917,"Milton Rd at Milton, stop 7",,-27.469482,153.003077,1,http://translink.com.au/stop/000917/gtfs/,0,,
266,266,"Coronation Dr at Auchenflower, stop 7",,-27.474943,153.003194,1,http://translink.com.au/stop/000266/gtfs/,0,,
267,267,"Coronation Dr at Auchenflower, stop 7",,-27.475273,153.00324,1,http://translink.com.au/stop/000267/gtfs/,0,,
1052,1052,"Montague Rd near Victoria St, stop 10",,-27.482327,153.003769,1,,0,,
912,912,"Heussler Tce at Heussler - Park, stop 7",,-27.465738,153.003797,1,http://translink.com.au/stop/000912/gtfs/,0,,
913,913,"Heussler Tce at Heussler - Park, stop 7",,-27.465407,153.004117,1,http://translink.com.au/stop/000913/gtfs/,0,,
1050,1050,"Montague Rd at Ashington Street, stop 9",,-27.48092,153.004695,1,http://translink.com.au/stop/001050/gtfs/,0,,
268,268,"Coronation Dr at Park Road, stop 6",,-27.473388,153.004757,1,http://translink.com.au/stop/000268/gtfs/,0,,
1049,1049,"Montague Rd at Ashington Street, stop 9",,-27.480984,153.004817,1,http://translink.com.au/stop/001049/gtfs/,0,,
place_milsta,,Milton station,,-27.468944,153.004957,,,1,,
928,928,"Park Rd near Fort Lane, stop 6",,-27.47206,153.005071,1,http://translink.com.au/stop/000928/gtfs/,0,,
600282,600282,"Milton station, platform 4",,-27.468852,153.005125,1,http://translink.com.au/stop/600282/gtfs/,0,place_milsta,4
927,927,"Park Rd near Fort Lane, stop 6",,-27.471887,153.005126,1,http://translink.com.au/stop/000927/gtfs/,0,,
600279,600279,"Milton station, platform 1",,-27.468965,153.005197,1,http://translink.com.au/stop/600279/gtfs/,0,place_milsta,1
908,908,"Heussler Tce at Heussler, stop 6",,-27.46529,153.005202,1,http://translink.com.au/stop/000908/gtfs/,0,,
600281,600281,"Milton station, platform 3",,-27.468814,153.005241,1,http://translink.com.au/stop/600281/gtfs/,0,place_milsta,3
320607,320607,Milton station - Railway Tce,,-27.469422,153.00527,1,http://translink.com.au/stop/320607/gtfs/,0,place_milsta,
600280,600280,"Milton station, platform 2",,-27.46893,153.005299,1,http://translink.com.au/stop/600280/gtfs/,0,place_milsta,2
319586,319586,Milton ferry terminal,,-27.473584,153.005633,1,http://translink.com.au/stop/319586/gtfs/,0,,
1048,1048,"Montague Rd at Davies Park, stop 8",,-27.478886,153.006003,1,http://translink.com.au/stop/001048/gtfs/,0,,
1047,1047,"Montague Rd at Davies Park, stop 8",,-27.478641,153.006306,1,http://translink.com.au/stop/001047/gtfs/,0,,
923,923,"Milton Rd at Milton Rail station, stop 5/6",,-27.468162,153.006367,1,http://translink.com.au/stop/000923/gtfs/,0,place_milsta,
271,271,"Coronation Dr at Cribb Street, stop 5/4",,-27.472072,153.00644,1,http://translink.com.au/stop/000271/gtfs/,0,,
924,924,"Milton Rd at Milton Rail station, stop 5/6",,-27.468302,153.006537,1,http://translink.com.au/stop/000924/gtfs/,0,place_milsta,
1059,1059,"Hardgrave Rd near Vulture St, stop 9C",,-27.480254,153.007434,1,http://translink.com.au/stop/001059/gtfs/,0,,
1060,1060,"Vulture St at West End School, stop 9",,-27.480594,153.007636,1,http://translink.com.au/stop/001060/gtfs/,0,,
1061,1061,"Vulture St at West End School, stop 9",,-27.480489,153.007723,1,http://translink.com.au/stop/001061/gtfs/,0,,
272,272,"Coronation Dr at Cribb Street, stop 4",,-27.471125,153.007921,1,http://translink.com.au/stop/000272/gtfs/,0,,
1046,1046,"Montague Rd at Donkin Street, stop 7",,-27.476702,153.008191,1,http://translink.com.au/stop/001046/gtfs/,0,,
1045,1045,"Montague Rd at Donkin Street, stop 7",,-27.476864,153.00821,1,http://translink.com.au/stop/001045/gtfs/,0,,
11401,11401,Jane St at West End State School,,-27.478681,153.008411,1,http://translink.com.au/stop/011401/gtfs/,0,,
1044,1044,"Montague Rd at Mollison Street, stop 6",,-27.476066,153.008904,1,http://translink.com.au/stop/001044/gtfs/,0,,
